;416;416;1165;1165;1167;1167;1168;1168;1213;1213
9N97MP74CB;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$Q_F002_BZ;-0.42454394693200603;"28.02.2019 12:39";-0.34162520729684875;"19.02.2019 19:36";-0.6525704809286894;"19.02.2019 15:38";-0.5281923714759535;"25.02.2019 10:31";-0.445273631840796;"12.03.2019 15:00"
$Q_F002_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_I001;2.381467181467181;"28.02.2019 12:39";2.251127819548872;"19.02.2019 19:36";2.49259645464025;"19.02.2019 15:38";2.150649350649351;"25.02.2019 10:31";2.269387755102041;"12.03.2019 15:00"
$Q_I001_NeedleLevel;170;"28.02.2019 12:39";158;"19.02.2019 19:36";180;"19.02.2019 15:38";149;"25.02.2019 10:31";160;"12.03.2019 15:00"
$Q_I001_NeedlePath;"M -.0 -0.025 L .0 0.025 L -0.492403876506104 0.08682408883346514 Z";"28.02.2019 12:39";"M -.0 -0.025 L .0 0.025 L -0.46359192728339366 0.18730329670795612 Z";"19.02.2019 19:36";"M -.0 -0.025 L .0 0.025 L -0.5 6.123233995736766e-17 Z";"19.02.2019 15:38";"M -.0 -0.025 L .0 0.025 L -0.4285836503510561 0.2575190374550272 Z";"25.02.2019 10:31";"M -.0 -0.025 L .0 0.025 L -0.46984631039295416 0.17101007166283444 Z";"12.03.2019 15:00"
$Q_I001_rounded;2.38;"28.02.2019 12:39";2.25;"19.02.2019 19:36";2.49;"19.02.2019 15:38";2.15;"25.02.2019 10:31";2.27;"12.03.2019 15:00"
$Q_S006;4.9;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_BZ;1.6428571428571435;"28.02.2019 12:39";1.7857142857142858;"19.02.2019 19:36";1.7857142857142858;"19.02.2019 15:38";1.0714285714285714;"25.02.2019 10:31";1.7857142857142858;"12.03.2019 15:00"
$Q_S006_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S006_PAR;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";5;"12.03.2019 15:00"
